,Company,rating,reviews,place,company type,old
102,Bosch,4.3,(3.3k Reviews),"Gerlingen,Baden-Wuerttemberg + 78 more",Public,136 years old
103,First Source,3.9,(2.4k Reviews),"Mumbai,Maharashtra + 44 more",Public,21 years old
104,JustDial,3.6,(2.4k Reviews),"Mumbai,Maharashtra + 117 more",Public,26 years old
105,JSW Steel,3.9,(3.8k Reviews),"Mumbai,Maharashtra + 85 more",Public,40 years old
106,Delhivery,4.2,(2.4k Reviews),"Delhi,NCT + 381 more",Private,11 years old
107,AU Small Finance...,4.0,(3.2k Reviews),"Jaipur,Rajasthan + 253 more",Private,26 years old
108,Hexaware Technol...,3.7,(2.4k Reviews),"Mumbai,Maharashtra + 25 more",Public,32 years old
109,TATA Steel,4.0,(3.7k Reviews),"Mumbai,Maharashtra + 112 more",Public,115 years old
110,Godrej & Boyce M...,3.9,(2.3k Reviews),"Mumbai,Maharashtra + 116 more",Private,125 years old
111,Axis Direct,4.0,(2.3k Reviews),"San Mateo,California + 262 more",Private,11 years old
112,Dell,4.2,(3.2k Reviews),"Round Rock,Texas + 80 more",Private,38 years old
113,Viatris,4.2,(2.2k Reviews),61 years old,"Canonsburg,Pennsylvania + 60 more",1k-5k Employees (India)
114,Wipro Consumer ...,3.8,(2.8k Reviews),"Bangalore/Bengaluru,Karnataka + 68 more",Private,77 years old
115,iEnergizer,3.5,(2.2k Reviews),"Noida,Uttar Pradesh + 14 more",Private,22 years old
